from,to,departs,arrives
501,603,2019-07-30T09:47:00.000Z,2019-07-30T09:52:00.000Z
603,603,2019-07-30T09:52:00.000Z,2019-07-30T09:54:00.000Z
603,502,2019-07-30T09:54:00.000Z,2019-07-30T09:57:00.000Z
502,502,2019-07-30T09:57:00.000Z,2019-07-30T09:57:00.000Z
502,1352,2019-07-30T09:57:00.000Z,2019-07-30T10:00:32.000Z
1352,1352,2019-07-30T10:00:32.000Z,2019-07-30T10:00:32.000Z
1352,506,2019-07-30T10:00:32.000Z,2019-07-30T10:08:00.000Z
506,506,2019-07-30T10:08:00.000Z,2019-07-30T10:08:00.000Z
506,507,2019-07-30T10:08:00.000Z,2019-07-30T10:20:00.000Z
507,507,2019-07-30T10:20:00.000Z,2019-07-30T10:20:00.000Z
507,1123,2019-07-30T10:20:00.000Z,2019-07-30T10:29:20.000Z
1123,1123,2019-07-30T10:29:20.000Z,2019-07-30T10:29:20.000Z
1123,510,2019-07-30T10:29:20.000Z,2019-07-30T10:31:00.000Z
510,510,2019-07-30T10:31:00.000Z,2019-07-30T10:33:00.000Z
510,964,2019-07-30T10:33:00.000Z,2019-07-30T10:43:00.000Z
964,964,2019-07-30T10:43:00.000Z,2019-07-30T10:43:00.000Z
964,965,2019-07-30T10:43:00.000Z,2019-07-30T10:48:33.000Z
965,965,2019-07-30T10:48:33.000Z,2019-07-30T10:48:33.000Z
965,966,2019-07-30T10:48:33.000Z,2019-07-30T10:54:00.000Z
966,966,2019-07-30T10:54:00.000Z,2019-07-30T10:55:00.000Z
966,919,2019-07-30T10:55:00.000Z,2019-07-30T11:09:00.000Z
919,919,2019-07-30T11:09:00.000Z,2019-07-30T11:09:00.000Z
919,453,2019-07-30T11:09:00.000Z,2019-07-30T11:13:00.000Z
453,453,2019-07-30T11:13:00.000Z,2019-07-30T11:14:00.000Z
453,918,2019-07-30T11:14:00.000Z,2019-07-30T11:25:00.000Z
918,918,2019-07-30T11:25:00.000Z,2019-07-30T11:25:00.000Z
918,916,2019-07-30T11:25:00.000Z,2019-07-30T11:28:00.000Z
916,916,2019-07-30T11:28:00.000Z,2019-07-30T11:28:00.000Z
916,451,2019-07-30T11:28:00.000Z,2019-07-30T11:34:00.000Z
451,451,2019-07-30T11:34:00.000Z,2019-07-30T11:34:00.000Z
451,917,2019-07-30T11:34:00.000Z,2019-07-30T11:40:00.000Z
917,917,2019-07-30T11:40:00.000Z,2019-07-30T11:40:00.000Z
917,1071,2019-07-30T11:40:00.000Z,2019-07-30T11:47:37.000Z
1071,1071,2019-07-30T11:47:37.000Z,2019-07-30T11:47:37.000Z
1071,1070,2019-07-30T11:47:37.000Z,2019-07-30T11:48:21.000Z
1070,1070,2019-07-30T11:48:21.000Z,2019-07-30T11:48:21.000Z
1070,460,2019-07-30T11:48:21.000Z,2019-07-30T11:49:00.000Z
460,1070,2019-07-30T03:10:00.000Z,2019-07-30T03:10:34.000Z
1070,1070,2019-07-30T03:10:34.000Z,2019-07-30T03:10:34.000Z
1070,1071,2019-07-30T03:10:34.000Z,2019-07-30T03:11:14.000Z
1071,1071,2019-07-30T03:11:14.000Z,2019-07-30T03:11:14.000Z
1071,917,2019-07-30T03:11:14.000Z,2019-07-30T03:18:00.000Z
917,917,2019-07-30T03:18:00.000Z,2019-07-30T03:18:00.000Z
917,451,2019-07-30T03:18:00.000Z,2019-07-30T03:24:00.000Z
451,451,2019-07-30T03:24:00.000Z,2019-07-30T03:24:00.000Z
451,916,2019-07-30T03:24:00.000Z,2019-07-30T03:29:00.000Z
916,916,2019-07-30T03:29:00.000Z,2019-07-30T03:29:00.000Z
916,918,2019-07-30T03:29:00.000Z,2019-07-30T03:32:00.000Z
918,918,2019-07-30T03:32:00.000Z,2019-07-30T03:32:00.000Z
918,453,2019-07-30T03:32:00.000Z,2019-07-30T03:42:00.000Z
453,453,2019-07-30T03:42:00.000Z,2019-07-30T03:43:00.000Z
453,919,2019-07-30T03:43:00.000Z,2019-07-30T03:47:00.000Z
919,919,2019-07-30T03:47:00.000Z,2019-07-30T03:47:00.000Z
919,966,2019-07-30T03:47:00.000Z,2019-07-30T04:01:00.000Z
966,966,2019-07-30T04:01:00.000Z,2019-07-30T04:02:00.000Z
966,965,2019-07-30T04:02:00.000Z,2019-07-30T04:07:57.000Z
965,965,2019-07-30T04:07:57.000Z,2019-07-30T04:07:57.000Z
965,964,2019-07-30T04:07:57.000Z,2019-07-30T04:14:00.000Z
964,964,2019-07-30T04:14:00.000Z,2019-07-30T04:14:00.000Z
964,510,2019-07-30T04:14:00.000Z,2019-07-30T04:25:00.000Z
510,510,2019-07-30T04:25:00.000Z,2019-07-30T04:27:00.000Z
510,1123,2019-07-30T04:27:00.000Z,2019-07-30T04:28:57.000Z
1123,1123,2019-07-30T04:28:57.000Z,2019-07-30T04:28:57.000Z
1123,507,2019-07-30T04:28:57.000Z,2019-07-30T04:40:00.000Z
507,507,2019-07-30T04:40:00.000Z,2019-07-30T04:41:00.000Z
507,506,2019-07-30T04:41:00.000Z,2019-07-30T04:54:00.000Z
506,506,2019-07-30T04:54:00.000Z,2019-07-30T04:54:00.000Z
506,1352,2019-07-30T04:54:00.000Z,2019-07-30T05:00:48.000Z
1352,1352,2019-07-30T05:00:48.000Z,2019-07-30T05:00:48.000Z
1352,502,2019-07-30T05:00:48.000Z,2019-07-30T05:04:00.000Z
502,502,2019-07-30T05:04:00.000Z,2019-07-30T05:04:00.000Z
502,603,2019-07-30T05:04:00.000Z,2019-07-30T05:07:00.000Z
603,603,2019-07-30T05:07:00.000Z,2019-07-30T05:09:00.000Z
603,501,2019-07-30T05:09:00.000Z,2019-07-30T05:13:00.000Z
501,501,2019-07-30T05:13:00.000Z,2019-07-30T05:13:00.000Z
501,499,2019-07-30T05:13:00.000Z,2019-07-30T05:20:00.000Z
499,499,2019-07-30T05:20:00.000Z,2019-07-30T05:21:00.000Z
499,1180,2019-07-30T05:21:00.000Z,2019-07-30T05:27:00.000Z
1180,1180,2019-07-30T05:27:00.000Z,2019-07-30T05:27:00.000Z
1180,498,2019-07-30T05:27:00.000Z,2019-07-30T05:32:00.000Z
498,498,2019-07-30T05:32:00.000Z,2019-07-30T05:32:00.000Z
498,495,2019-07-30T05:32:00.000Z,2019-07-30T05:36:00.000Z
495,495,2019-07-30T05:36:00.000Z,2019-07-30T05:38:00.000Z
495,1276,2019-07-30T05:38:00.000Z,2019-07-30T05:43:00.000Z
1276,1276,2019-07-30T05:43:00.000Z,2019-07-30T05:43:00.000Z
1276,1290,2019-07-30T05:43:00.000Z,2019-07-30T05:46:00.000Z
1290,1290,2019-07-30T05:46:00.000Z,2019-07-30T05:46:00.000Z
1290,1222,2019-07-30T05:46:00.000Z,2019-07-30T05:49:00.000Z
1222,1222,2019-07-30T05:49:00.000Z,2019-07-30T05:49:00.000Z
1222,487,2019-07-30T05:49:00.000Z,2019-07-30T05:53:00.000Z
487,487,2019-07-30T05:53:00.000Z,2019-07-30T05:53:00.000Z
487,486,2019-07-30T05:53:00.000Z,2019-07-30T05:58:00.000Z
486,486,2019-07-30T05:58:00.000Z,2019-07-30T05:58:00.000Z
486,944,2019-07-30T05:58:00.000Z,2019-07-30T06:02:00.000Z
944,944,2019-07-30T06:02:00.000Z,2019-07-30T06:02:00.000Z
944,485,2019-07-30T06:02:00.000Z,2019-07-30T06:06:00.000Z
485,485,2019-07-30T06:06:00.000Z,2019-07-30T06:06:00.000Z
485,1319,2019-07-30T06:06:00.000Z,2019-07-30T06:09:00.000Z
1319,1319,2019-07-30T06:09:00.000Z,2019-07-30T06:09:00.000Z
1319,484,2019-07-30T06:09:00.000Z,2019-07-30T06:10:00.000Z
484,484,2019-07-30T06:10:00.000Z,2019-07-30T06:10:00.000Z
484,1320,2019-07-30T06:10:00.000Z,2019-07-30T06:13:00.000Z
1320,1320,2019-07-30T06:13:00.000Z,2019-07-30T06:13:00.000Z
1320,480,2019-07-30T06:13:00.000Z,2019-07-30T06:17:00.000Z
480,480,2019-07-30T06:17:00.000Z,2019-07-30T06:19:00.000Z
480,478,2019-07-30T06:19:00.000Z,2019-07-30T06:24:00.000Z
478,478,2019-07-30T06:24:00.000Z,2019-07-30T06:24:00.000Z
478,1325,2019-07-30T06:24:00.000Z,2019-07-30T06:26:00.000Z
1325,1325,2019-07-30T06:26:00.000Z,2019-07-30T06:26:00.000Z
1325,1324,2019-07-30T06:26:00.000Z,2019-07-30T06:29:00.000Z
1324,1324,2019-07-30T06:29:00.000Z,2019-07-30T06:29:00.000Z
1324,477,2019-07-30T06:29:00.000Z,2019-07-30T06:30:00.000Z
477,477,2019-07-30T06:30:00.000Z,2019-07-30T06:30:00.000Z
477,1336,2019-07-30T06:30:00.000Z,2019-07-30T06:34:00.000Z
1336,1336,2019-07-30T06:34:00.000Z,2019-07-30T06:34:00.000Z
1336,105,2019-07-30T06:34:00.000Z,2019-07-30T06:38:00.000Z
105,105,2019-07-30T06:38:00.000Z,2019-07-30T06:38:00.000Z
105,595,2019-07-30T06:38:00.000Z,2019-07-30T06:39:30.000Z
595,595,2019-07-30T06:39:30.000Z,2019-07-30T06:39:30.000Z
595,104,2019-07-30T06:39:30.000Z,2019-07-30T06:42:00.000Z
104,104,2019-07-30T06:42:00.000Z,2019-07-30T06:42:00.000Z
104,100,2019-07-30T06:42:00.000Z,2019-07-30T06:47:00.000Z
100,100,2019-07-30T06:47:00.000Z,2019-07-30T06:49:00.000Z
100,1014,2019-07-30T06:49:00.000Z,2019-07-30T06:55:00.000Z
1014,1014,2019-07-30T06:55:00.000Z,2019-07-30T06:55:00.000Z
1014,1164,2019-07-30T06:55:00.000Z,2019-07-30T07:00:00.000Z
1164,1164,2019-07-30T07:00:00.000Z,2019-07-30T07:00:00.000Z
1164,1254,2019-07-30T07:00:00.000Z,2019-07-30T07:03:30.000Z
1254,1254,2019-07-30T07:03:30.000Z,2019-07-30T07:03:30.000Z
1254,27,2019-07-30T07:03:30.000Z,2019-07-30T07:06:30.000Z
27,27,2019-07-30T07:06:30.000Z,2019-07-30T07:06:30.000Z
27,1128,2019-07-30T07:06:30.000Z,2019-07-30T07:09:30.000Z
1128,1128,2019-07-30T07:09:30.000Z,2019-07-30T07:09:30.000Z
1128,13,2019-07-30T07:09:30.000Z,2019-07-30T07:13:00.000Z
13,13,2019-07-30T07:13:00.000Z,2019-07-30T07:13:00.000Z
13,1111,2019-07-30T07:13:00.000Z,2019-07-30T07:16:00.000Z
1111,1111,2019-07-30T07:16:00.000Z,2019-07-30T07:16:00.000Z
1111,20,2019-07-30T07:16:00.000Z,2019-07-30T07:17:00.000Z
20,20,2019-07-30T07:17:00.000Z,2019-07-30T07:17:00.000Z
20,555,2019-07-30T07:17:00.000Z,2019-07-30T07:18:24.000Z
555,555,2019-07-30T07:18:24.000Z,2019-07-30T07:18:24.000Z
555,19,2019-07-30T07:18:24.000Z,2019-07-30T07:20:20.000Z
19,19,2019-07-30T07:20:20.000Z,2019-07-30T07:20:20.000Z
19,1018,2019-07-30T07:20:20.000Z,2019-07-30T07:21:00.000Z
1018,1018,2019-07-30T07:21:00.000Z,2019-07-30T07:21:00.000Z
1018,554,2019-07-30T07:21:00.000Z,2019-07-30T07:21:25.000Z
554,554,2019-07-30T07:21:25.000Z,2019-07-30T07:21:25.000Z
554,559,2019-07-30T07:21:25.000Z,2019-07-30T07:22:03.000Z
559,559,2019-07-30T07:22:03.000Z,2019-07-30T07:22:03.000Z
559,1334,2019-07-30T07:22:03.000Z,2019-07-30T07:23:00.000Z
1334,1334,2019-07-30T07:23:00.000Z,2019-07-30T07:23:00.000Z
1334,556,2019-07-30T07:23:00.000Z,2019-07-30T07:23:40.000Z
556,556,2019-07-30T07:23:40.000Z,2019-07-30T07:23:40.000Z
556,18,2019-07-30T07:23:40.000Z,2019-07-30T07:25:00.000Z
18,18,2019-07-30T07:25:00.000Z,2019-07-30T07:26:00.000Z
18,553,2019-07-30T07:26:00.000Z,2019-07-30T07:27:06.000Z
553,553,2019-07-30T07:27:06.000Z,2019-07-30T07:27:06.000Z
553,552,2019-07-30T07:27:06.000Z,2019-07-30T07:27:59.000Z
552,552,2019-07-30T07:27:59.000Z,2019-07-30T07:27:59.000Z
552,17,2019-07-30T07:27:59.000Z,2019-07-30T07:29:00.000Z
17,17,2019-07-30T07:29:00.000Z,2019-07-30T07:29:00.000Z
17,551,2019-07-30T07:29:00.000Z,2019-07-30T07:29:50.000Z
551,551,2019-07-30T07:29:50.000Z,2019-07-30T07:29:50.000Z
551,15,2019-07-30T07:29:50.000Z,2019-07-30T07:31:00.000Z
15,15,2019-07-30T07:31:00.000Z,2019-07-30T07:31:00.000Z
15,977,2019-07-30T07:31:00.000Z,2019-07-30T07:32:00.000Z
977,977,2019-07-30T07:32:00.000Z,2019-07-30T07:32:00.000Z
977,10,2019-07-30T07:32:00.000Z,2019-07-30T07:34:00.000Z
10,10,2019-07-30T07:34:00.000Z,2019-07-30T07:35:00.000Z
10,1,2019-07-30T07:35:00.000Z,2019-07-30T07:40:00.000Z
1,10,2019-07-30T10:19:00.000Z,2019-07-30T10:24:00.000Z
10,10,2019-07-30T10:24:00.000Z,2019-07-30T10:25:00.000Z
10,977,2019-07-30T10:25:00.000Z,2019-07-30T10:27:00.000Z
977,977,2019-07-30T10:27:00.000Z,2019-07-30T10:27:00.000Z
977,15,2019-07-30T10:27:00.000Z,2019-07-30T10:28:00.000Z
15,15,2019-07-30T10:28:00.000Z,2019-07-30T10:28:00.000Z
15,551,2019-07-30T10:28:00.000Z,2019-07-30T10:29:11.000Z
551,551,2019-07-30T10:29:11.000Z,2019-07-30T10:29:11.000Z
551,17,2019-07-30T10:29:11.000Z,2019-07-30T10:30:00.000Z
17,17,2019-07-30T10:30:00.000Z,2019-07-30T10:30:00.000Z
17,552,2019-07-30T10:30:00.000Z,2019-07-30T10:31:22.000Z
552,552,2019-07-30T10:31:22.000Z,2019-07-30T10:31:22.000Z
552,553,2019-07-30T10:31:22.000Z,2019-07-30T10:32:31.000Z
553,553,2019-07-30T10:32:31.000Z,2019-07-30T10:32:31.000Z
553,18,2019-07-30T10:32:31.000Z,2019-07-30T10:34:00.000Z
18,18,2019-07-30T10:34:00.000Z,2019-07-30T10:35:00.000Z
18,556,2019-07-30T10:35:00.000Z,2019-07-30T10:35:40.000Z
556,556,2019-07-30T10:35:40.000Z,2019-07-30T10:35:40.000Z
556,1334,2019-07-30T10:35:40.000Z,2019-07-30T10:36:00.000Z
1334,1334,2019-07-30T10:36:00.000Z,2019-07-30T10:36:00.000Z
1334,559,2019-07-30T10:36:00.000Z,2019-07-30T10:36:56.000Z
559,559,2019-07-30T10:36:56.000Z,2019-07-30T10:36:56.000Z
559,554,2019-07-30T10:36:56.000Z,2019-07-30T10:37:34.000Z
554,554,2019-07-30T10:37:34.000Z,2019-07-30T10:37:34.000Z
554,1018,2019-07-30T10:37:34.000Z,2019-07-30T10:38:00.000Z
1018,1018,2019-07-30T10:38:00.000Z,2019-07-30T10:38:00.000Z
1018,19,2019-07-30T10:38:00.000Z,2019-07-30T10:38:31.000Z
19,19,2019-07-30T10:38:31.000Z,2019-07-30T10:38:31.000Z
19,555,2019-07-30T10:38:31.000Z,2019-07-30T10:39:58.000Z
555,555,2019-07-30T10:39:58.000Z,2019-07-30T10:39:58.000Z
555,20,2019-07-30T10:39:58.000Z,2019-07-30T10:41:00.000Z
20,20,2019-07-30T10:41:00.000Z,2019-07-30T10:41:00.000Z
20,1111,2019-07-30T10:41:00.000Z,2019-07-30T10:42:00.000Z
1111,1111,2019-07-30T10:42:00.000Z,2019-07-30T10:42:00.000Z
1111,13,2019-07-30T10:42:00.000Z,2019-07-30T10:45:30.000Z
13,13,2019-07-30T10:45:30.000Z,2019-07-30T10:45:30.000Z
13,1128,2019-07-30T10:45:30.000Z,2019-07-30T10:49:00.000Z
1128,1128,2019-07-30T10:49:00.000Z,2019-07-30T10:49:00.000Z
1128,27,2019-07-30T10:49:00.000Z,2019-07-30T10:52:00.000Z
27,27,2019-07-30T10:52:00.000Z,2019-07-30T10:52:00.000Z
27,1254,2019-07-30T10:52:00.000Z,2019-07-30T10:56:00.000Z
1254,1254,2019-07-30T10:56:00.000Z,2019-07-30T10:56:00.000Z
1254,1164,2019-07-30T10:56:00.000Z,2019-07-30T11:00:00.000Z
1164,1164,2019-07-30T11:00:00.000Z,2019-07-30T11:00:00.000Z
1164,1014,2019-07-30T11:00:00.000Z,2019-07-30T11:05:00.000Z
1014,1014,2019-07-30T11:05:00.000Z,2019-07-30T11:05:00.000Z
1014,100,2019-07-30T11:05:00.000Z,2019-07-30T11:11:00.000Z
100,100,2019-07-30T11:11:00.000Z,2019-07-30T11:13:00.000Z
100,104,2019-07-30T11:13:00.000Z,2019-07-30T11:18:00.000Z
104,104,2019-07-30T11:18:00.000Z,2019-07-30T11:18:00.000Z
104,595,2019-07-30T11:18:00.000Z,2019-07-30T11:20:00.000Z
595,595,2019-07-30T11:20:00.000Z,2019-07-30T11:20:00.000Z
595,105,2019-07-30T11:20:00.000Z,2019-07-30T11:21:30.000Z
105,105,2019-07-30T11:21:30.000Z,2019-07-30T11:21:30.000Z
105,1336,2019-07-30T11:21:30.000Z,2019-07-30T11:25:30.000Z
1336,1336,2019-07-30T11:25:30.000Z,2019-07-30T11:25:30.000Z
1336,477,2019-07-30T11:25:30.000Z,2019-07-30T11:29:00.000Z
477,477,2019-07-30T11:29:00.000Z,2019-07-30T11:29:00.000Z
477,1324,2019-07-30T11:29:00.000Z,2019-07-30T11:30:00.000Z
1324,1324,2019-07-30T11:30:00.000Z,2019-07-30T11:30:00.000Z
1324,1325,2019-07-30T11:30:00.000Z,2019-07-30T11:33:00.000Z
1325,1325,2019-07-30T11:33:00.000Z,2019-07-30T11:33:00.000Z
1325,478,2019-07-30T11:33:00.000Z,2019-07-30T11:36:00.000Z
478,478,2019-07-30T11:36:00.000Z,2019-07-30T11:36:00.000Z
478,480,2019-07-30T11:36:00.000Z,2019-07-30T11:41:00.000Z
480,480,2019-07-30T11:41:00.000Z,2019-07-30T11:43:00.000Z
480,1320,2019-07-30T11:43:00.000Z,2019-07-30T11:47:00.000Z
1320,1320,2019-07-30T11:47:00.000Z,2019-07-30T11:47:00.000Z
1320,484,2019-07-30T11:47:00.000Z,2019-07-30T11:50:00.000Z
484,484,2019-07-30T11:50:00.000Z,2019-07-30T11:50:00.000Z
484,1319,2019-07-30T11:50:00.000Z,2019-07-30T11:51:00.000Z
1319,1319,2019-07-30T11:51:00.000Z,2019-07-30T11:51:00.000Z
1319,485,2019-07-30T11:51:00.000Z,2019-07-30T11:54:00.000Z
485,485,2019-07-30T11:54:00.000Z,2019-07-30T11:54:00.000Z
485,944,2019-07-30T11:54:00.000Z,2019-07-30T11:58:00.000Z
944,944,2019-07-30T11:58:00.000Z,2019-07-30T11:58:00.000Z
944,486,2019-07-30T11:58:00.000Z,2019-07-30T12:02:00.000Z
486,486,2019-07-30T12:02:00.000Z,2019-07-30T12:02:00.000Z
486,487,2019-07-30T12:02:00.000Z,2019-07-30T12:06:00.000Z
487,487,2019-07-30T12:06:00.000Z,2019-07-30T12:06:00.000Z
487,1222,2019-07-30T12:06:00.000Z,2019-07-30T12:10:00.000Z
1222,1222,2019-07-30T12:10:00.000Z,2019-07-30T12:10:00.000Z
1222,1290,2019-07-30T12:10:00.000Z,2019-07-30T12:13:00.000Z
1290,1290,2019-07-30T12:13:00.000Z,2019-07-30T12:13:00.000Z
1290,1276,2019-07-30T12:13:00.000Z,2019-07-30T12:16:00.000Z
1276,1276,2019-07-30T12:16:00.000Z,2019-07-30T12:16:00.000Z
1276,495,2019-07-30T12:16:00.000Z,2019-07-30T12:21:00.000Z
495,495,2019-07-30T12:21:00.000Z,2019-07-30T12:23:00.000Z
495,498,2019-07-30T12:23:00.000Z,2019-07-30T12:27:00.000Z
498,498,2019-07-30T12:27:00.000Z,2019-07-30T12:27:00.000Z
498,1180,2019-07-30T12:27:00.000Z,2019-07-30T12:32:00.000Z
1180,1180,2019-07-30T12:32:00.000Z,2019-07-30T12:32:00.000Z
1180,499,2019-07-30T12:32:00.000Z,2019-07-30T12:38:00.000Z
499,499,2019-07-30T12:38:00.000Z,2019-07-30T12:39:00.000Z
499,501,2019-07-30T12:39:00.000Z,2019-07-30T12:47:00.000Z
501,501,2019-07-30T12:47:00.000Z,2019-07-30T12:47:00.000Z
501,603,2019-07-30T12:47:00.000Z,2019-07-30T12:52:00.000Z
603,603,2019-07-30T12:52:00.000Z,2019-07-30T12:54:00.000Z
603,502,2019-07-30T12:54:00.000Z,2019-07-30T12:57:00.000Z
502,502,2019-07-30T12:57:00.000Z,2019-07-30T12:57:00.000Z
502,1352,2019-07-30T12:57:00.000Z,2019-07-30T13:00:32.000Z
1352,1352,2019-07-30T13:00:32.000Z,2019-07-30T13:00:32.000Z
1352,506,2019-07-30T13:00:32.000Z,2019-07-30T13:08:00.000Z
506,506,2019-07-30T13:08:00.000Z,2019-07-30T13:08:00.000Z
506,507,2019-07-30T13:08:00.000Z,2019-07-30T13:19:00.000Z
507,507,2019-07-30T13:19:00.000Z,2019-07-30T13:19:00.000Z
507,1123,2019-07-30T13:19:00.000Z,2019-07-30T13:29:11.000Z
1123,1123,2019-07-30T13:29:11.000Z,2019-07-30T13:29:11.000Z
1123,510,2019-07-30T13:29:11.000Z,2019-07-30T13:31:00.000Z
510,510,2019-07-30T13:31:00.000Z,2019-07-30T13:34:00.000Z
510,964,2019-07-30T13:34:00.000Z,2019-07-30T13:44:00.000Z
964,964,2019-07-30T13:44:00.000Z,2019-07-30T13:44:00.000Z
964,965,2019-07-30T13:44:00.000Z,2019-07-30T13:49:33.000Z
965,965,2019-07-30T13:49:33.000Z,2019-07-30T13:49:33.000Z
965,966,2019-07-30T13:49:33.000Z,2019-07-30T13:55:00.000Z
966,966,2019-07-30T13:55:00.000Z,2019-07-30T13:56:00.000Z
966,919,2019-07-30T13:56:00.000Z,2019-07-30T14:10:00.000Z
919,919,2019-07-30T14:10:00.000Z,2019-07-30T14:10:00.000Z
919,453,2019-07-30T14:10:00.000Z,2019-07-30T14:14:00.000Z
453,453,2019-07-30T14:14:00.000Z,2019-07-30T14:15:00.000Z
453,918,2019-07-30T14:15:00.000Z,2019-07-30T14:26:00.000Z
918,918,2019-07-30T14:26:00.000Z,2019-07-30T14:26:00.000Z
918,916,2019-07-30T14:26:00.000Z,2019-07-30T14:29:00.000Z
916,916,2019-07-30T14:29:00.000Z,2019-07-30T14:29:00.000Z
916,451,2019-07-30T14:29:00.000Z,2019-07-30T14:35:00.000Z
451,451,2019-07-30T14:35:00.000Z,2019-07-30T14:35:00.000Z
451,917,2019-07-30T14:35:00.000Z,2019-07-30T14:41:00.000Z
917,917,2019-07-30T14:41:00.000Z,2019-07-30T14:41:00.000Z
917,1071,2019-07-30T14:41:00.000Z,2019-07-30T14:48:37.000Z
1071,1071,2019-07-30T14:48:37.000Z,2019-07-30T14:48:37.000Z
1071,1070,2019-07-30T14:48:37.000Z,2019-07-30T14:49:21.000Z
1070,1070,2019-07-30T14:49:21.000Z,2019-07-30T14:49:21.000Z
1070,460,2019-07-30T14:49:21.000Z,2019-07-30T14:50:00.000Z
460,1070,2019-07-30T06:06:00.000Z,2019-07-30T06:06:34.000Z
1070,1070,2019-07-30T06:06:34.000Z,2019-07-30T06:06:34.000Z
1070,1071,2019-07-30T06:06:34.000Z,2019-07-30T06:07:14.000Z
1071,1071,2019-07-30T06:07:14.000Z,2019-07-30T06:07:14.000Z
1071,917,2019-07-30T06:07:14.000Z,2019-07-30T06:14:00.000Z
917,917,2019-07-30T06:14:00.000Z,2019-07-30T06:14:00.000Z
917,451,2019-07-30T06:14:00.000Z,2019-07-30T06:20:00.000Z
451,451,2019-07-30T06:20:00.000Z,2019-07-30T06:20:00.000Z
451,916,2019-07-30T06:20:00.000Z,2019-07-30T06:25:00.000Z
916,916,2019-07-30T06:25:00.000Z,2019-07-30T06:25:00.000Z
916,918,2019-07-30T06:25:00.000Z,2019-07-30T06:28:00.000Z
918,918,2019-07-30T06:28:00.000Z,2019-07-30T06:28:00.000Z
918,453,2019-07-30T06:28:00.000Z,2019-07-30T06:38:00.000Z
453,453,2019-07-30T06:38:00.000Z,2019-07-30T06:41:00.000Z
453,919,2019-07-30T06:41:00.000Z,2019-07-30T06:45:00.000Z
919,919,2019-07-30T06:45:00.000Z,2019-07-30T06:45:00.000Z
919,966,2019-07-30T06:45:00.000Z,2019-07-30T06:59:00.000Z
966,966,2019-07-30T06:59:00.000Z,2019-07-30T07:00:00.000Z
966,965,2019-07-30T07:00:00.000Z,2019-07-30T07:05:57.000Z
965,965,2019-07-30T07:05:57.000Z,2019-07-30T07:05:57.000Z
965,964,2019-07-30T07:05:57.000Z,2019-07-30T07:12:00.000Z
964,964,2019-07-30T07:12:00.000Z,2019-07-30T07:12:00.000Z
964,510,2019-07-30T07:12:00.000Z,2019-07-30T07:23:00.000Z
510,510,2019-07-30T07:23:00.000Z,2019-07-30T07:26:00.000Z
510,1123,2019-07-30T07:26:00.000Z,2019-07-30T07:27:57.000Z
1123,1123,2019-07-30T07:27:57.000Z,2019-07-30T07:27:57.000Z
1123,507,2019-07-30T07:27:57.000Z,2019-07-30T07:39:00.000Z
507,507,2019-07-30T07:39:00.000Z,2019-07-30T07:40:00.000Z
507,506,2019-07-30T07:40:00.000Z,2019-07-30T07:53:00.000Z
506,506,2019-07-30T07:53:00.000Z,2019-07-30T07:53:00.000Z
506,1352,2019-07-30T07:53:00.000Z,2019-07-30T07:59:48.000Z
1352,1352,2019-07-30T07:59:48.000Z,2019-07-30T07:59:48.000Z
1352,502,2019-07-30T07:59:48.000Z,2019-07-30T08:03:00.000Z
502,502,2019-07-30T08:03:00.000Z,2019-07-30T08:03:00.000Z
502,603,2019-07-30T08:03:00.000Z,2019-07-30T08:06:00.000Z
603,603,2019-07-30T08:06:00.000Z,2019-07-30T08:08:00.000Z
603,501,2019-07-30T08:08:00.000Z,2019-07-30T08:12:00.000Z
501,501,2019-07-30T08:12:00.000Z,2019-07-30T08:12:00.000Z
501,499,2019-07-30T08:12:00.000Z,2019-07-30T08:19:00.000Z
499,499,2019-07-30T08:19:00.000Z,2019-07-30T08:20:00.000Z
499,1180,2019-07-30T08:20:00.000Z,2019-07-30T08:26:00.000Z
1180,1180,2019-07-30T08:26:00.000Z,2019-07-30T08:26:00.000Z
1180,498,2019-07-30T08:26:00.000Z,2019-07-30T08:31:00.000Z
498,498,2019-07-30T08:31:00.000Z,2019-07-30T08:31:00.000Z
498,495,2019-07-30T08:31:00.000Z,2019-07-30T08:35:00.000Z
495,495,2019-07-30T08:35:00.000Z,2019-07-30T08:37:00.000Z
495,1276,2019-07-30T08:37:00.000Z,2019-07-30T08:42:00.000Z
1276,1276,2019-07-30T08:42:00.000Z,2019-07-30T08:42:00.000Z
1276,1290,2019-07-30T08:42:00.000Z,2019-07-30T08:45:00.000Z
1290,1290,2019-07-30T08:45:00.000Z,2019-07-30T08:45:00.000Z
1290,1222,2019-07-30T08:45:00.000Z,2019-07-30T08:48:00.000Z
1222,1222,2019-07-30T08:48:00.000Z,2019-07-30T08:48:00.000Z
1222,487,2019-07-30T08:48:00.000Z,2019-07-30T08:52:00.000Z
487,487,2019-07-30T08:52:00.000Z,2019-07-30T08:52:00.000Z
487,486,2019-07-30T08:52:00.000Z,2019-07-30T08:57:00.000Z
486,486,2019-07-30T08:57:00.000Z,2019-07-30T08:57:00.000Z
486,944,2019-07-30T08:57:00.000Z,2019-07-30T09:01:00.000Z
944,944,2019-07-30T09:01:00.000Z,2019-07-30T09:01:00.000Z
944,485,2019-07-30T09:01:00.000Z,2019-07-30T09:05:00.000Z
